t_switch,num_events,unique_cells,mean_old_size
53,2,2,3.0
54,6,6,4.0
55,4,4,3.75
58,1,1,3.0
62,5,5,3.6
63,5,5,3.0
64,2,2,4.0
70,2,2,3.0
71,7,7,4.43
73,3,3,4.0
74,8,8,3.62
75,4,4,3.0
76,10,10,3.9
77,17,17,3.59
78,9,9,4.11
79,20,20,3.8
80,32,32,4.81
81,20,20,3.75
82,29,29,4.34
83,30,30,4.07
84,34,34,4.26
85,26,26,5.27
86,23,23,4.83
87,47,47,5.4
88,57,57,5.21
89,32,32,4.72
90,26,26,3.69
91,21,21,4.57
92,15,15,4.47
93,20,20,3.55
94,17,17,4.35
95,17,17,5.12
96,6,6,4.0
97,8,8,4.88
98,16,16,4.25
99,34,34,4.24
100,39,39,4.15
101,25,25,3.44
102,34,34,5.21
103,51,51,3.84
104,54,54,4.02
105,87,87,4.33
106,117,117,4.71
107,140,140,5.96
108,141,141,6.18
109,181,181,5.46
110,219,219,6.15
111,233,233,9.55
112,216,216,7.57
113,187,187,6.9
114,205,205,6.46
115,268,268,9.04
116,261,261,8.13
117,260,260,8.79
118,241,241,8.02
119,213,213,5.96
120,243,243,8.09
121,214,214,7.25
122,251,251,8.58
123,214,214,6.98
124,211,211,5.9
125,235,235,6.48
126,195,195,6.36
127,190,190,6.46
128,236,236,6.22
129,189,189,5.87
130,190,190,6.54
131,188,188,7.32
132,167,167,6.02
133,150,150,6.03
134,169,169,5.51
135,166,166,6.17
136,153,153,5.46
137,194,194,5.9
138,186,186,6.78
139,193,193,6.68
140,151,151,7.78
141,125,125,5.23
142,131,131,5.26
143,159,159,6.21
144,161,161,6.24
145,176,176,6.85
146,160,160,6.2
147,166,166,9.19
148,156,156,6.6
149,160,160,6.44
150,108,108,5.9
151,122,122,5.9
152,144,144,5.07
153,144,144,5.26
154,121,121,4.98
155,117,117,5.1
156,114,114,5.63
157,104,104,5.47
158,107,107,5.93
159,104,104,5.29
160,101,101,5.57
161,94,94,5.2
162,99,99,5.75
163,101,101,6.21
164,107,107,6.18
165,89,89,5.45
166,98,98,4.56
167,79,79,5.49
168,71,71,4.65
169,85,85,5.29
170,39,39,4.74
171,14,14,3.64
172,18,18,3.89
173,15,15,3.73
174,21,21,3.57
175,22,22,3.91
176,16,16,5.0
177,17,17,3.71
178,16,16,3.81
179,16,16,3.56
180,5,5,3.6
181,25,25,3.44
182,10,10,4.6
183,11,11,4.27
184,11,11,3.27
185,20,20,3.6
186,28,28,4.04
187,28,28,5.39
188,18,18,4.11
189,14,14,4.29
