event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
ANS_00000,MSpp,53,54,3,0,3,3,ABalpppp|MSaap|MSpp,ABalpppp|ABplappa|MSpp,1
ANS_00001,ABalpppp,53,54,3,0,3,3,ABalpppp|MSaap|MSpp,ABalpppp|ABplappa|MSpp,1
ANS_00002,Cpp,54,55,1,2,3,3,ABalaaaa|ABplaaaa|Cpp,ABalaaaa|ABalpaaa|Cpp,1
ANS_00003,ABalapp,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
ANS_00004,ABplapaa,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
ANS_00005,ABalaaaa,54,55,1,2,3,3,ABalaaaa|ABplaaaa|Cpp,ABalaaaa|ABalpaaa|Cpp,1
ANS_00006,ABalappa,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
ANS_00007,ABprapap,54,55,3,0,3,4,ABprapap|ABprpapa|Cpaa,ABarapaa|ABarpa|ABprapap|ABprpaa,1
ANS_00008,ABarpa,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
ANS_00009,ABprapap,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
ANS_00010,ABprpaa,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
ANS_00011,ABalpaaa,55,56,2,3,3,3,ABalaaaa|ABalpaaa|Cpp,ABalpa|ABalpaaa|Cppp,1
ANS_00012,ABalaaap,58,59,0,1,3,3,ABalaaap|ABalap|ABprappp,ABalaaap|ABplaaaa|Cpp,1
ANS_00013,MSpa,62,63,1,0,3,3,ABpraap|MSapp|MSpa,MSap|MSapp|MSpa,1
ANS_00014,ABalppp,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
ANS_00015,ABplpaa,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
ANS_00016,ABarapaa,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
ANS_00017,MSapp,62,63,1,0,3,3,ABpraap|MSapp|MSpa,MSap|MSapp|MSpa,1
ANS_00018,MSap,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
ANS_00019,MSpa,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
ANS_00020,ABalpap,63,64,2,1,3,3,ABalaaap|ABalpap|ABaraaaa,ABalaaap|ABalpap|ABprpp,1
ANS_00021,ABalaaap,63,64,2,1,3,3,ABalaaap|ABalpap|ABaraaaa,ABalaaap|ABalpap|ABprpp,1
ANS_00022,MSapp,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
ANS_00023,MSpa,64,65,2,0,4,4,MSap|MSapp|MSappp|MSpa,ABplappp|MSapap|MSapp|MSpa,1
ANS_00024,MSapp,64,65,2,0,4,4,MSap|MSapp|MSappp|MSpa,ABplappp|MSapap|MSapp|MSpa,1
ANS_00025,ABalaaap,70,71,1,3,3,3,ABalaaap|ABalapaa|Cpp,ABalaaap|ABalapaa|Eprp,1
ANS_00026,ABalapaa,70,71,1,3,3,3,ABalaaap|ABalapaa|Cpp,ABalaaap|ABalapaa|Eprp,1
ANS_00027,ABprpaa,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
ANS_00028,Epr,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
ANS_00029,ABalaapp,71,72,0,4,5,3,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABalaapp|ABalappa|Cpaaa,1
ANS_00030,ABalapaa,71,72,3,5,3,3,ABalaaap|ABalapaa|Eprp,ABalapaa|Eprp|MSaaaa,1
ANS_00031,ABaraapp,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
