event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
PHA_00000,MSpp,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
PHA_00001,ABplappa,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
PHA_00002,ABalpppp,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
PHA_00003,Cpp,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
PHA_00004,ABalaaap,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
PHA_00005,ABplaaaa,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
PHA_00006,ABprap,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
PHA_00007,ABalppp,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
PHA_00008,ABplpaa,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
PHA_00009,ABarpapa,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
PHA_00010,MSpp,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
PHA_00011,ABarpap,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
PHA_00012,ABalpppp,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
PHA_00013,MSpp,66,67,3,1,3,3,ABalpppp|MSapaa|MSpp,ABalpppp|MSapaa|MSpp,1
PHA_00014,ABalpppp,66,67,3,1,3,3,ABalpppp|MSapaa|MSpp,ABalpppp|MSapaa|MSpp,1
