adult_neuron,input_wormbase_raw,after_step1_spaces_removed,after_step2_dots_removed,after_step3_suffix_stripped,output_sulston_final,rules_applied
ADAL,AB plapaaaapp,ABplapaaaapp,ABplapaaaapp,ABplapaaaapp,ABplapaaaapp,spaces_removed
ADAR,AB prapaaaapp,ABprapaaaapp,ABprapaaaapp,ABprapaaaapp,ABprapaaaapp,spaces_removed
ADEL,AB plapaaaapa,ABplapaaaapa,ABplapaaaapa,ABplapaaaapa,ABplapaaaapa,spaces_removed
ADER,AB prapaaaapa,ABprapaaaapa,ABprapaaaapa,ABprapaaaapa,ABprapaaaapa,spaces_removed
ADFL,AB alpppppaa,ABalpppppaa,ABalpppppaa,ABalpppppaa,ABalpppppaa,spaces_removed
ADFR,AB praaappaa,ABpraaappaa,ABpraaappaa,ABpraaappaa,ABpraaappaa,spaces_removed
ADLL,AB alppppaad,ABalppppaad,ABalppppaad,ABalppppaa,ABalppppaa,spaces_removed + suffix_d_stripped
ADLR,AB praaapaad,ABpraaapaad,ABpraaapaad,ABpraaapaa,ABpraaapaa,spaces_removed + suffix_d_stripped
AFDL,AB alpppapav,ABalpppapav,ABalpppapav,ABalpppapa,ABalpppapa,spaces_removed + suffix_v_stripped
AFDR,AB praaaapav,ABpraaaapav,ABpraaaapav,ABpraaaapa,ABpraaaapa,spaces_removed + suffix_v_stripped
AIAL,AB plppaappa,ABplppaappa,ABplppaappa,ABplppaappa,ABplppaappa,spaces_removed
AIAR,AB prppaappa,ABprppaappa,ABprppaappa,ABprppaappa,ABprppaappa,spaces_removed
AIBL,AB plaapappa,ABplaapappa,ABplaapappa,ABplaapappa,ABplaapappa,spaces_removed
AIBR,AB praapappa,ABpraapappa,ABpraapappa,ABpraapappa,ABpraapappa,spaces_removed
AIML,AB plpaapppa,ABplpaapppa,ABplpaapppa,ABplpaapppa,ABplpaapppa,spaces_removed
AIMR,AB prpaapppa,ABprpaapppa,ABprpaapppa,ABprpaapppa,ABprpaapppa,spaces_removed
AINL,AB alaaaalal,ABalaaaalal,ABalaaaalal,ABalaaaalal,ABalaaaalal,spaces_removed
AINR,AB alaapaaar,ABalaapaaar,ABalaapaaar,ABalaapaaar,ABalaapaaar,spaces_removed
AIYL,AB plpapaaap,ABplpapaaap,ABplpapaaap,ABplpapaaap,ABplpapaaap,spaces_removed
AIYR,AB prpapaaap,ABprpapaaap,ABprpapaaap,ABprpapaaap,ABprpapaaap,spaces_removed
AIZL,AB plapaaapav,ABplapaaapav,ABplapaaapav,ABplapaaapa,ABplapaaapa,spaces_removed + suffix_v_stripped
AIZR,AB prapaaapav,ABprapaaapav,ABprapaaapav,ABprapaaapa,ABprapaaapa,spaces_removed + suffix_v_stripped
ALA,AB alapppaaa,ABalapppaaa,ABalapppaaa,ABalapppaaa,ABalapppaaa,spaces_removed
ALML,AB.arppaappa,AB.arppaappa,ABarppaappa,ABarppaappa,ABarppaappa,dots_removed
ALMR,AB arpppappa,ABarpppappa,ABarpppappa,ABarpppappa,ABarpppappa,spaces_removed
ALNL,AB plapappppap,ABplapappppap,ABplapappppap,ABplapappppap,ABplapappppap,spaces_removed
ALNR,AB prapappppap,ABprapappppap,ABprapappppap,ABprapappppap,ABprapappppap,spaces_removed
AQR,QR.ap,QR.ap,QR.ap,QR.ap,QR.ap,none
AS1,P1.apa,P1.apa,P1apa,P1apa,P1apa,dots_removed
AS10,P10.apa,P10.apa,P10apa,P10apa,P10apa,dots_removed
AS11,P11.apa,P11.apa,P11apa,P11apa,P11apa,dots_removed
AS2,P2.apa,P2.apa,P2apa,P2apa,P2apa,dots_removed
AS3,P3.apa,P3.apa,P3apa,P3apa,P3apa,dots_removed
AS4,P4.apa,P4.apa,P4apa,P4apa,P4apa,dots_removed
AS5,P5.apa,P5.apa,P5apa,P5apa,P5apa,dots_removed
AS6,P6.apa,P6.apa,P6apa,P6apa,P6apa,dots_removed
AS7,P7.apa,P7.apa,P7apa,P7apa,P7apa,dots_removed
AS8,P8.apa,P8.apa,P8apa,P8apa,P8apa,dots_removed
AS9,P9.apa,P9.apa,P9apa,P9apa,P9apa,dots_removed
ASEL,AB alppppppaa,ABalppppppaa,ABalppppppaa,ABalppppppaa,ABalppppppaa,spaces_removed
ASER,AB praaapppaa,ABpraaapppaa,ABpraaapppaa,ABpraaapppaa,ABpraaapppaa,spaces_removed
ASGL,AB plaapapap,ABplaapapap,ABplaapapap,ABplaapapap,ABplaapapap,spaces_removed
ASGR,AB praapapap,ABpraapapap,ABpraapapap,ABpraapapap,ABpraapapap,spaces_removed
ASHL,AB plpaappaa,ABplpaappaa,ABplpaappaa,ABplpaappaa,ABplpaappaa,spaces_removed
