phantom_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,cluster_size,members,why_phantom,old_label_int,new_label_int,label
PHT_00000,MSpp,54,55,0,3,3,ABalpppp|ABplappa|MSpp,set(old_members)==set(new_members),0,3,0
PHT_00001,ABplappa,54,55,0,3,3,ABalpppp|ABplappa|MSpp,set(old_members)==set(new_members),0,3,0
PHT_00002,ABalpppp,54,55,0,3,3,ABalpppp|ABplappa|MSpp,set(old_members)==set(new_members),0,3,0
PHT_00003,Cpp,59,60,1,2,3,ABalaaap|ABplaaaa|Cpp,set(old_members)==set(new_members),1,2,0
PHT_00004,ABalaaap,59,60,1,2,3,ABalaaap|ABplaaaa|Cpp,set(old_members)==set(new_members),1,2,0
PHT_00005,ABplaaaa,59,60,1,2,3,ABalaaap|ABplaaaa|Cpp,set(old_members)==set(new_members),1,2,0
PHT_00006,ABprap,60,61,1,0,4,ABalppp|ABarpapa|ABplpaa|ABprap,set(old_members)==set(new_members),1,0,0
PHT_00007,ABalppp,60,61,1,0,4,ABalppp|ABarpapa|ABplpaa|ABprap,set(old_members)==set(new_members),1,0,0
PHT_00008,ABplpaa,60,61,1,0,4,ABalppp|ABarpapa|ABplpaa|ABprap,set(old_members)==set(new_members),1,0,0
PHT_00009,ABarpapa,60,61,1,0,4,ABalppp|ABarpapa|ABplpaa|ABprap,set(old_members)==set(new_members),1,0,0
PHT_00010,MSpp,63,64,3,4,3,ABalpppp|ABarpap|MSpp,set(old_members)==set(new_members),3,4,0
PHT_00011,ABarpap,63,64,3,4,3,ABalpppp|ABarpap|MSpp,set(old_members)==set(new_members),3,4,0
PHT_00012,ABalpppp,63,64,3,4,3,ABalpppp|ABarpap|MSpp,set(old_members)==set(new_members),3,4,0
PHT_00013,MSpp,66,67,3,1,3,ABalpppp|MSapaa|MSpp,set(old_members)==set(new_members),3,1,0
PHT_00014,ABalpppp,66,67,3,1,3,ABalpppp|MSapaa|MSpp,set(old_members)==set(new_members),3,1,0
PHT_00015,MSapaa,66,67,3,1,3,ABalpppp|MSapaa|MSpp,set(old_members)==set(new_members),3,1,0
PHT_00016,ABpraap,68,69,0,2,3,ABalappp|ABpraap|MSpaaa,set(old_members)==set(new_members),0,2,0
PHT_00017,ABalappp,68,69,0,2,3,ABalappp|ABpraap|MSpaaa,set(old_members)==set(new_members),0,2,0
PHT_00018,MSpaaa,68,69,0,2,3,ABalappp|ABpraap|MSpaaa,set(old_members)==set(new_members),0,2,0
PHT_00019,Dp,70,71,2,4,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),2,4,0
PHT_00020,ABalpaap,70,71,2,4,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),2,4,0
PHT_00021,ABalpapa,70,71,2,4,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),2,4,0
PHT_00022,Dp,71,72,4,3,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),4,3,0
PHT_00023,ABalpaap,71,72,4,3,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),4,3,0
PHT_00024,ABalpapa,71,72,4,3,3,ABalpaap|ABalpapa|Dp,set(old_members)==set(new_members),4,3,0
PHT_00025,ABarpap,72,73,6,0,3,ABarpap|ABarpppp|MSpppa,set(old_members)==set(new_members),6,0,0
PHT_00026,ABarpppp,72,73,6,0,3,ABarpap|ABarpppp|MSpppa,set(old_members)==set(new_members),6,0,0
